DIRECTORIO,SECUENCIA_PH,SECUENCIA_P,SECUENCIA_ENCUESTA,TIPO,P3077,P3078,P3079,P3080,P3081,P3082,P3083,P3084,P2990,P3085,P3099,CLASE_TE,COD_DEPTO,AREA,F_EXP
7280324,1,1,3,1,1,1,1300000,1,331000,2,,1,1,36,38,1,68,68,31.945122649311
7280324,1,1,2,1,1,2,1300000,1,331000,2,,1,1,36,42,1,68,68,31.945122649311
7280370,1,1,1,3,,2,,2,,,,2,2,36,69,1,68,68,25.1520400548881
7280390,1,2,5,1,2,1,0,2,,2,,2,2,12,24,1,68,68,24.2769455025591
7280390,1,2,2,1,2,1,0,2,,2,,2,2,12,30,1,68,68,24.2769455025591
7280390,1,2,1,2,,1,,2,,,,2,2,14,45,1,68,68,24.2769455025591
7280390,1,2,2,2,,1,,2,,,,2,2,14,26,1,68,68,24.2769455025591
7280390,1,2,3,1,2,2,0,2,,2,,2,2,12,26,1,68,68,24.2769455025591
7280390,1,2,4,1,2,2,0,2,,2,,2,2,12,34,1,68,68,24.2769455025591
7280390,1,2,1,1,2,1,0,2,,2,,2,2,12,27,1,68,68,24.2769455025591
7280396,1,1,1,1,1,1,1300000,2,,2,,2,2,96,50,1,68,68,26.8716966181737
7280501,1,1,1,3,,2,,2,,,,2,2,12,18,1,70,70,10.6088366979408
7280585,1,1,1,3,,1,,2,,,,2,2,48,51,1,73,73,32.6918375370919
7280603,1,1,2,1,2,1,600000,2,,2,,2,2,2,27,1,73,73,29.7100548959097
7280603,1,1,1,1,2,1,600000,2,,2,,2,2,2,58,1,73,73,29.7100548959097
7280618,1,1,1,3,,2,,2,,,,2,2,72,43,1,73,73,34.3465259125285
7280618,1,1,2,1,2,2,1200000,1,243855,2,,1,2,10,24,1,73,73,34.3465259125285
7280618,1,1,1,1,2,2,1200000,1,243855,2,,2,2,12,35,1,73,73,34.3465259125285
7280660,1,1,1,2,,2,,2,,,,2,2,9,26,1,73,73,54.4863958951532
7280676,1,1,5,1,2,1,1306000,1,237800,1,680000,1,1,12,23,1,73,73,21.4866542642867
7280676,1,1,6,1,2,1,1300600,1,237800,2,,1,1,2,36,1,73,73,21.4866542642867
